"","X","Taxa","INC","COLD","plate_num","date","viable","DAY","END","germination","mold","adj_total","force","germ_perc","censor","chill_time","warmT"
"453.2",453,"Phlox cuspidata","H","E",728,"2018-01-01",4,NA,0,9,0,5,25,1.8,2,49,25
"453.3",453,"Phlox cuspidata","H","E",728,"2018-01-01",4,NA,0,9,0,5,25,1.8,2,49,25
"453.4",453,"Phlox cuspidata","H","E",728,"2018-01-01",4,NA,0,9,0,5,25,1.8,2,49,25
"453.5",453,"Phlox cuspidata","H","E",728,"2018-01-01",4,NA,0,9,0,5,25,1.8,2,49,25
"453.6",453,"Phlox cuspidata","H","E",728,"2018-01-01",4,NA,0,9,0,5,25,1.8,2,49,25
"453.7",453,"Phlox cuspidata","H","E",728,"2018-01-01",4,NA,0,9,0,5,25,1.8,2,49,25
"453.8",453,"Phlox cuspidata","H","E",728,"2018-01-01",4,NA,0,9,0,5,25,1.8,2,49,25
"454",454,"Phlox cuspidata","H","E",729,"2018-01-01",3,NA,0,10,2,3,25,3.33333333333333,2,49,25
"454.1",454,"Phlox cuspidata","H","E",729,"2018-01-01",3,NA,0,10,2,3,25,3.33333333333333,2,49,25
"454.2",454,"Phlox cuspidata","H","E",729,"2018-01-01",3,NA,0,10,2,3,25,3.33333333333333,2,49,25
"454.3",454,"Phlox cuspidata","H","E",729,"2018-01-01",3,NA,0,10,2,3,25,3.33333333333333,2,49,25
"454.4",454,"Phlox cuspidata","H","E",729,"2018-01-01",3,NA,0,10,2,3,25,3.33333333333333,2,49,25
"454.5",454,"Phlox cuspidata","H","E",729,"2018-01-01",3,NA,0,10,2,3,25,3.33333333333333,2,49,25
"454.6",454,"Phlox cuspidata","H","E",729,"2018-01-01",3,NA,0,10,2,3,25,3.33333333333333,2,49,25
"454.7",454,"Phlox cuspidata","H","E",729,"2018-01-01",3,NA,0,10,2,3,25,3.33333333333333,2,49,25
"454.8",454,"Phlox cuspidata","H","E",729,"2018-01-01",3,NA,0,10,2,3,25,3.33333333333333,2,49,25
"454.9",454,"Phlox cuspidata","H","E",729,"2018-01-01",3,NA,0,10,2,3,25,3.33333333333333,2,49,25
"455",455,"Phlox cuspidata","L","E",730,"2018-01-01",6,NA,0,7,1,6,20,1.16666666666667,2,49,20
"455.1",455,"Phlox cuspidata","L","E",730,"2018-01-01",6,NA,0,7,1,6,20,1.16666666666667,2,49,20
"455.2",455,"Phlox cuspidata","L","E",730,"2018-01-01",6,NA,0,7,1,6,20,1.16666666666667,2,49,20
"455.3",455,"Phlox cuspidata","L","E",730,"2018-01-01",6,NA,0,7,1,6,20,1.16666666666667,2,49,20
"455.4",455,"Phlox cuspidata","L","E",730,"2018-01-01",6,NA,0,7,1,6,20,1.16666666666667,2,49,20
"455.5",455,"Phlox cuspidata","L","E",730,"2018-01-01",6,NA,0,7,1,6,20,1.16666666666667,2,49,20
"455.6",455,"Phlox cuspidata","L","E",730,"2018-01-01",6,NA,0,7,1,6,20,1.16666666666667,2,49,20
"456",456,"Phlox cuspidata","L","E",731,"2018-01-01",4,NA,0,10,1,4,20,2.5,2,49,20
"456.1",456,"Phlox cuspidata","L","E",731,"2018-01-01",4,NA,0,10,1,4,20,2.5,2,49,20
"456.2",456,"Phlox cuspidata","L","E",731,"2018-01-01",4,NA,0,10,1,4,20,2.5,2,49,20
"456.3",456,"Phlox cuspidata","L","E",731,"2018-01-01",4,NA,0,10,1,4,20,2.5,2,49,20
"456.4",456,"Phlox cuspidata","L","E",731,"2018-01-01",4,NA,0,10,1,4,20,2.5,2,49,20
"456.5",456,"Phlox cuspidata","L","E",731,"2018-01-01",4,NA,0,10,1,4,20,2.5,2,49,20
"456.6",456,"Phlox cuspidata","L","E",731,"2018-01-01",4,NA,0,10,1,4,20,2.5,2,49,20
"456.7",456,"Phlox cuspidata","L","E",731,"2018-01-01",4,NA,0,10,1,4,20,2.5,2,49,20
"456.8",456,"Phlox cuspidata","L","E",731,"2018-01-01",4,NA,0,10,1,4,20,2.5,2,49,20
"456.9",456,"Phlox cuspidata","L","E",731,"2018-01-01",4,NA,0,10,1,4,20,2.5,2,49,20
"481",481,"Hesperis matronalis","H","f",331,"2018-01-01",0,NA,0,2,0,18,25,0.111111111111111,2,56,25
"481.1",481,"Hesperis matronalis","H","f",331,"2018-01-01",0,NA,0,2,0,18,25,0.111111111111111,2,56,25
"482",482,"Hesperis matronalis","H","f",332,"2018-01-01",0,NA,0,2,0,19,25,0.105263157894737,2,56,25
"482.1",482,"Hesperis matronalis","H","f",332,"2018-01-01",0,NA,0,2,0,19,25,0.105263157894737,2,56,25
"483",483,"Hesperis matronalis","H","f",333,"2018-01-01",0,NA,0,1,0,20,25,0.05,2,56,25
"484",484,"Hesperis matronalis","L","f",334,"2018-01-01",0,NA,0,2,1,17,20,0.117647058823529,2,56,20
"484.1",484,"Hesperis matronalis","L","f",334,"2018-01-01",0,NA,0,2,1,17,20,0.117647058823529,2,56,20
"485",485,"Hesperis matronalis","L","f",335,"2018-01-01",2,NA,0,4,0,16,20,0.25,2,56,20
"485.1",485,"Hesperis matronalis","L","f",335,"2018-01-01",2,NA,0,4,0,16,20,0.25,2,56,20
"485.2",485,"Hesperis matronalis","L","f",335,"2018-01-01",2,NA,0,4,0,16,20,0.25,2,56,20
"485.3",485,"Hesperis matronalis","L","f",335,"2018-01-01",2,NA,0,4,0,16,20,0.25,2,56,20
"486",486,"Hesperis matronalis","L","f",336,"2018-01-01",0,NA,0,2,0,18,20,0.111111111111111,2,56,20
"486.1",486,"Hesperis matronalis","L","f",336,"2018-01-01",0,NA,0,2,0,18,20,0.111111111111111,2,56,20
"504",504,"Silene vulgaris","L","f",499,"2018-01-01",2,NA,0,1,1,18,20,0.0555555555555556,2,56,20
"529",529,"Phlox cuspidata","H","f",732,"2018-01-01",4,NA,0,9,2,4,25,2.25,2,56,25
"529.1",529,"Phlox cuspidata","H","f",732,"2018-01-01",4,NA,0,9,2,4,25,2.25,2,56,25
"529.2",529,"Phlox cuspidata","H","f",732,"2018-01-01",4,NA,0,9,2,4,25,2.25,2,56,25
"529.3",529,"Phlox cuspidata","H","f",732,"2018-01-01",4,NA,0,9,2,4,25,2.25,2,56,25
"529.4",529,"Phlox cuspidata","H","f",732,"2018-01-01",4,NA,0,9,2,4,25,2.25,2,56,25
"529.5",529,"Phlox cuspidata","H","f",732,"2018-01-01",4,NA,0,9,2,4,25,2.25,2,56,25
"529.6",529,"Phlox cuspidata","H","f",732,"2018-01-01",4,NA,0,9,2,4,25,2.25,2,56,25
"529.7",529,"Phlox cuspidata","H","f",732,"2018-01-01",4,NA,0,9,2,4,25,2.25,2,56,25
"529.8",529,"Phlox cuspidata","H","f",732,"2018-01-01",4,NA,0,9,2,4,25,2.25,2,56,25
"530",530,"Phlox cuspidata","H","f",733,"2018-01-01",3,NA,0,12,0,3,25,4,2,56,25
"530.1",530,"Phlox cuspidata","H","f",733,"2018-01-01",3,NA,0,12,0,3,25,4,2,56,25
"530.2",530,"Phlox cuspidata","H","f",733,"2018-01-01",3,NA,0,12,0,3,25,4,2,56,25
"530.3",530,"Phlox cuspidata","H","f",733,"2018-01-01",3,NA,0,12,0,3,25,4,2,56,25
"530.4",530,"Phlox cuspidata","H","f",733,"2018-01-01",3,NA,0,12,0,3,25,4,2,56,25
"530.5",530,"Phlox cuspidata","H","f",733,"2018-01-01",3,NA,0,12,0,3,25,4,2,56,25
"530.6",530,"Phlox cuspidata","H","f",733,"2018-01-01",3,NA,0,12,0,3,25,4,2,56,25
"530.7",530,"Phlox cuspidata","H","f",733,"2018-01-01",3,NA,0,12,0,3,25,4,2,56,25
"530.8",530,"Phlox cuspidata","H","f",733,"2018-01-01",3,NA,0,12,0,3,25,4,2,56,25
"530.9",530,"Phlox cuspidata","H","f",733,"2018-01-01",3,NA,0,12,0,3,25,4,2,56,25
"530.10",530,"Phlox cuspidata","H","f",733,"2018-01-01",3,NA,0,12,0,3,25,4,2,56,25
"530.11",530,"Phlox cuspidata","H","f",733,"2018-01-01",3,NA,0,12,0,3,25,4,2,56,25
"531",531,"Phlox cuspidata","H","f",734,"2018-01-01",6,NA,0,9,0,6,25,1.5,2,56,25
"531.1",531,"Phlox cuspidata","H","f",734,"2018-01-01",6,NA,0,9,0,6,25,1.5,2,56,25
"531.2",531,"Phlox cuspidata","H","f",734,"2018-01-01",6,NA,0,9,0,6,25,1.5,2,56,25
"531.3",531,"Phlox cuspidata","H","f",734,"2018-01-01",6,NA,0,9,0,6,25,1.5,2,56,25
"531.4",531,"Phlox cuspidata","H","f",734,"2018-01-01",6,NA,0,9,0,6,25,1.5,2,56,25
"531.5",531,"Phlox cuspidata","H","f",734,"2018-01-01",6,NA,0,9,0,6,25,1.5,2,56,25
"531.6",531,"Phlox cuspidata","H","f",734,"2018-01-01",6,NA,0,9,0,6,25,1.5,2,56,25
"531.7",531,"Phlox cuspidata","H","f",734,"2018-01-01",6,NA,0,9,0,6,25,1.5,2,56,25
"531.8",531,"Phlox cuspidata","H","f",734,"2018-01-01",6,NA,0,9,0,6,25,1.5,2,56,25
"532",532,"Phlox cuspidata","L","f",735,"2018-01-01",1,NA,0,13,0,2,20,6.5,2,56,20
"532.1",532,"Phlox cuspidata","L","f",735,"2018-01-01",1,NA,0,13,0,2,20,6.5,2,56,20
"532.2",532,"Phlox cuspidata","L","f",735,"2018-01-01",1,NA,0,13,0,2,20,6.5,2,56,20
"532.3",532,"Phlox cuspidata","L","f",735,"2018-01-01",1,NA,0,13,0,2,20,6.5,2,56,20
"532.4",532,"Phlox cuspidata","L","f",735,"2018-01-01",1,NA,0,13,0,2,20,6.5,2,56,20
"532.5",532,"Phlox cuspidata","L","f",735,"2018-01-01",1,NA,0,13,0,2,20,6.5,2,56,20
"532.6",532,"Phlox cuspidata","L","f",735,"2018-01-01",1,NA,0,13,0,2,20,6.5,2,56,20
"532.7",532,"Phlox cuspidata","L","f",735,"2018-01-01",1,NA,0,13,0,2,20,6.5,2,56,20
"532.8",532,"Phlox cuspidata","L","f",735,"2018-01-01",1,NA,0,13,0,2,20,6.5,2,56,20
"532.9",532,"Phlox cuspidata","L","f",735,"2018-01-01",1,NA,0,13,0,2,20,6.5,2,56,20
"532.10",532,"Phlox cuspidata","L","f",735,"2018-01-01",1,NA,0,13,0,2,20,6.5,2,56,20
"532.11",532,"Phlox cuspidata","L","f",735,"2018-01-01",1,NA,0,13,0,2,20,6.5,2,56,20
"532.12",532,"Phlox cuspidata","L","f",735,"2018-01-01",1,NA,0,13,0,2,20,6.5,2,56,20
"546",546,"Cryptotaenia canadensis","H","G",218,"2018-01-01",8,NA,0,2,2,16,25,0.125,2,63,25
"546.1",546,"Cryptotaenia canadensis","H","G",218,"2018-01-01",8,NA,0,2,2,16,25,0.125,2,63,25
"550",550,"Cryptotaenia canadensis","L","G",222,"2018-01-01",0,NA,0,1,0,20,20,0.05,2,63,20
"557",557,"Hesperis matronalis","H","G",337,"2018-01-01",0,NA,0,4,0,17,25,0.235294117647059,2,63,25
"557.1",557,"Hesperis matronalis","H","G",337,"2018-01-01",0,NA,0,4,0,17,25,0.235294117647059,2,63,25
"557.2",557,"Hesperis matronalis","H","G",337,"2018-01-01",0,NA,0,4,0,17,25,0.235294117647059,2,63,25
"557.3",557,"Hesperis matronalis","H","G",337,"2018-01-01",0,NA,0,4,0,17,25,0.235294117647059,2,63,25
"558",558,"Hesperis matronalis","H","G",338,"2018-01-01",0,NA,0,2,1,17,25,0.117647058823529,2,63,25
"558.1",558,"Hesperis matronalis","H","G",338,"2018-01-01",0,NA,0,2,1,17,25,0.117647058823529,2,63,25
"559",559,"Hesperis matronalis","H","G",339,"2018-01-01",0,NA,0,3,0,18,25,0.166666666666667,2,63,25
"559.1",559,"Hesperis matronalis","H","G",339,"2018-01-01",0,NA,0,3,0,18,25,0.166666666666667,2,63,25
"559.2",559,"Hesperis matronalis","H","G",339,"2018-01-01",0,NA,0,3,0,18,25,0.166666666666667,2,63,25
"560",560,"Hesperis matronalis","L","G",340,"2018-01-01",3,NA,0,2,0,18,20,0.111111111111111,2,63,20
"560.1",560,"Hesperis matronalis","L","G",340,"2018-01-01",3,NA,0,2,0,18,20,0.111111111111111,2,63,20
"561",561,"Hesperis matronalis","L","G",341,"2018-01-01",0,NA,0,2,1,17,20,0.117647058823529,2,63,20
"561.1",561,"Hesperis matronalis","L","G",341,"2018-01-01",0,NA,0,2,1,17,20,0.117647058823529,2,63,20
"562",562,"Hesperis matronalis","L","G",342,"2018-01-01",1,NA,0,2,0,19,20,0.105263157894737,2,63,20
"562.1",562,"Hesperis matronalis","L","G",342,"2018-01-01",1,NA,0,2,0,19,20,0.105263157894737,2,63,20
"574",574,"Silene vulgaris","H","G",504,"2018-01-01",1,NA,0,1,0,20,25,0.05,2,63,25
"577",577,"Silene vulgaris","L","G",507,"2018-01-01",0,NA,0,2,0,19,20,0.105263157894737,2,63,20
"577.1",577,"Silene vulgaris","L","G",507,"2018-01-01",0,NA,0,2,0,19,20,0.105263157894737,2,63,20
"600",600,"Phlox cuspidata","H","G",736,"2018-01-01",5,NA,0,11,0,5,25,2.2,2,63,25
"600.1",600,"Phlox cuspidata","H","G",736,"2018-01-01",5,NA,0,11,0,5,25,2.2,2,63,25
"600.2",600,"Phlox cuspidata","H","G",736,"2018-01-01",5,NA,0,11,0,5,25,2.2,2,63,25
"600.3",600,"Phlox cuspidata","H","G",736,"2018-01-01",5,NA,0,11,0,5,25,2.2,2,63,25
"600.4",600,"Phlox cuspidata","H","G",736,"2018-01-01",5,NA,0,11,0,5,25,2.2,2,63,25
"600.5",600,"Phlox cuspidata","H","G",736,"2018-01-01",5,NA,0,11,0,5,25,2.2,2,63,25
"600.6",600,"Phlox cuspidata","H","G",736,"2018-01-01",5,NA,0,11,0,5,25,2.2,2,63,25
"600.7",600,"Phlox cuspidata","H","G",736,"2018-01-01",5,NA,0,11,0,5,25,2.2,2,63,25
"600.8",600,"Phlox cuspidata","H","G",736,"2018-01-01",5,NA,0,11,0,5,25,2.2,2,63,25
"600.9",600,"Phlox cuspidata","H","G",736,"2018-01-01",5,NA,0,11,0,5,25,2.2,2,63,25
"600.10",600,"Phlox cuspidata","H","G",736,"2018-01-01",5,NA,0,11,0,5,25,2.2,2,63,25
"601",601,"Phlox cuspidata","H","G",737,"2018-01-01",6,NA,0,6,1,7,25,0.857142857142857,2,63,25
"601.1",601,"Phlox cuspidata","H","G",737,"2018-01-01",6,NA,0,6,1,7,25,0.857142857142857,2,63,25
"601.2",601,"Phlox cuspidata","H","G",737,"2018-01-01",6,NA,0,6,1,7,25,0.857142857142857,2,63,25
"601.3",601,"Phlox cuspidata","H","G",737,"2018-01-01",6,NA,0,6,1,7,25,0.857142857142857,2,63,25
"601.4",601,"Phlox cuspidata","H","G",737,"2018-01-01",6,NA,0,6,1,7,25,0.857142857142857,2,63,25
"601.5",601,"Phlox cuspidata","H","G",737,"2018-01-01",6,NA,0,6,1,7,25,0.857142857142857,2,63,25
"602",602,"Phlox cuspidata","H","G",738,"2018-01-01",1,NA,0,12,1,1,25,12,2,63,25
"602.1",602,"Phlox cuspidata","H","G",738,"2018-01-01",1,NA,0,12,1,1,25,12,2,63,25
"602.2",602,"Phlox cuspidata","H","G",738,"2018-01-01",1,NA,0,12,1,1,25,12,2,63,25
"602.3",602,"Phlox cuspidata","H","G",738,"2018-01-01",1,NA,0,12,1,1,25,12,2,63,25
"602.4",602,"Phlox cuspidata","H","G",738,"2018-01-01",1,NA,0,12,1,1,25,12,2,63,25
"602.5",602,"Phlox cuspidata","H","G",738,"2018-01-01",1,NA,0,12,1,1,25,12,2,63,25
"602.6",602,"Phlox cuspidata","H","G",738,"2018-01-01",1,NA,0,12,1,1,25,12,2,63,25
"602.7",602,"Phlox cuspidata","H","G",738,"2018-01-01",1,NA,0,12,1,1,25,12,2,63,25
"602.8",602,"Phlox cuspidata","H","G",738,"2018-01-01",1,NA,0,12,1,1,25,12,2,63,25
"602.9",602,"Phlox cuspidata","H","G",738,"2018-01-01",1,NA,0,12,1,1,25,12,2,63,25
"602.10",602,"Phlox cuspidata","H","G",738,"2018-01-01",1,NA,0,12,1,1,25,12,2,63,25
"602.11",602,"Phlox cuspidata","H","G",738,"2018-01-01",1,NA,0,12,1,1,25,12,2,63,25
"603",603,"Phlox cuspidata","L","G",739,"2018-01-01",5,NA,0,10,0,5,20,2,2,63,20
"603.1",603,"Phlox cuspidata","L","G",739,"2018-01-01",5,NA,0,10,0,5,20,2,2,63,20
"603.2",603,"Phlox cuspidata","L","G",739,"2018-01-01",5,NA,0,10,0,5,20,2,2,63,20
"603.3",603,"Phlox cuspidata","L","G",739,"2018-01-01",5,NA,0,10,0,5,20,2,2,63,20
"603.4",603,"Phlox cuspidata","L","G",739,"2018-01-01",5,NA,0,10,0,5,20,2,2,63,20
"603.5",603,"Phlox cuspidata","L","G",739,"2018-01-01",5,NA,0,10,0,5,20,2,2,63,20
"603.6",603,"Phlox cuspidata","L","G",739,"2018-01-01",5,NA,0,10,0,5,20,2,2,63,20
"603.7",603,"Phlox cuspidata","L","G",739,"2018-01-01",5,NA,0,10,0,5,20,2,2,63,20
"603.8",603,"Phlox cuspidata","L","G",739,"2018-01-01",5,NA,0,10,0,5,20,2,2,63,20
"603.9",603,"Phlox cuspidata","L","G",739,"2018-01-01",5,NA,0,10,0,5,20,2,2,63,20
"609",609,"Oenethera biennis","L","H",132,"2018-01-01",1,NA,0,1,2,17,20,0.0588235294117647,2,77,20
"616",616,"Cryptotaenia canadensis","H","H",223,"2018-01-01",8,NA,0,1,0,19,25,0.0526315789473684,2,77,25
"617",617,"Cryptotaenia canadensis","H","H",224,"2018-01-01",6,NA,0,2,1,17,25,0.117647058823529,2,77,25
"617.1",617,"Cryptotaenia canadensis","H","H",224,"2018-01-01",6,NA,0,2,1,17,25,0.117647058823529,2,77,25
"621",621,"Cryptotaenia canadensis","L","H",228,"2018-01-01",2,NA,0,1,1,18,20,0.0555555555555556,2,77,20
"625",625,"Eurbia diviricata","L","H",292,"2018-01-01",5,NA,0,1,5,14,20,0.0714285714285714,2,77,20
"628",628,"Hesperis matronalis","H","H",343,"2018-01-01",0,NA,0,2,0,18,25,0.111111111111111,2,77,25
"628.1",628,"Hesperis matronalis","H","H",343,"2018-01-01",0,NA,0,2,0,18,25,0.111111111111111,2,77,25
"629",629,"Hesperis matronalis","H","H",344,"2018-01-01",1,NA,0,2,0,18,25,0.111111111111111,2,77,25
"629.1",629,"Hesperis matronalis","H","H",344,"2018-01-01",1,NA,0,2,0,18,25,0.111111111111111,2,77,25
"630",630,"Hesperis matronalis","H","H",345,"2018-01-01",0,NA,0,3,0,19,25,0.157894736842105,2,77,25
"630.1",630,"Hesperis matronalis","H","H",345,"2018-01-01",0,NA,0,3,0,19,25,0.157894736842105,2,77,25
"630.2",630,"Hesperis matronalis","H","H",345,"2018-01-01",0,NA,0,3,0,19,25,0.157894736842105,2,77,25
"631",631,"Hesperis matronalis","L","H",346,"2018-01-01",1,NA,0,6,2,11,20,0.545454545454545,2,77,20
"631.1",631,"Hesperis matronalis","L","H",346,"2018-01-01",1,NA,0,6,2,11,20,0.545454545454545,2,77,20
"631.2",631,"Hesperis matronalis","L","H",346,"2018-01-01",1,NA,0,6,2,11,20,0.545454545454545,2,77,20
"631.3",631,"Hesperis matronalis","L","H",346,"2018-01-01",1,NA,0,6,2,11,20,0.545454545454545,2,77,20
"631.4",631,"Hesperis matronalis","L","H",346,"2018-01-01",1,NA,0,6,2,11,20,0.545454545454545,2,77,20
"631.5",631,"Hesperis matronalis","L","H",346,"2018-01-01",1,NA,0,6,2,11,20,0.545454545454545,2,77,20
"632",632,"Hesperis matronalis","L","H",347,"2018-01-01",2,NA,0,4,0,18,20,0.222222222222222,2,77,20
"632.1",632,"Hesperis matronalis","L","H",347,"2018-01-01",2,NA,0,4,0,18,20,0.222222222222222,2,77,20
"632.2",632,"Hesperis matronalis","L","H",347,"2018-01-01",2,NA,0,4,0,18,20,0.222222222222222,2,77,20
"632.3",632,"Hesperis matronalis","L","H",347,"2018-01-01",2,NA,0,4,0,18,20,0.222222222222222,2,77,20
"633",633,"Hesperis matronalis","L","H",348,"2018-01-01",1,NA,0,5,0,16,20,0.3125,2,77,20
"633.1",633,"Hesperis matronalis","L","H",348,"2018-01-01",1,NA,0,5,0,16,20,0.3125,2,77,20
"633.2",633,"Hesperis matronalis","L","H",348,"2018-01-01",1,NA,0,5,0,16,20,0.3125,2,77,20
"633.3",633,"Hesperis matronalis","L","H",348,"2018-01-01",1,NA,0,5,0,16,20,0.3125,2,77,20
"633.4",633,"Hesperis matronalis","L","H",348,"2018-01-01",1,NA,0,5,0,16,20,0.3125,2,77,20
"638",638,"Silene vulgaris","H","H",508,"2018-01-01",5,NA,0,1,0,18,25,0.0555555555555556,2,77,25
"640",640,"Silene vulgaris","H","H",510,"2018-01-01",5,NA,0,1,1,18,25,0.0555555555555556,2,77,25
"642",642,"Silene vulgaris","L","H",512,"2018-01-01",1,NA,0,1,0,19,20,0.0526315789473684,2,77,20
"643",643,"Silene vulgaris","L","H",513,"2018-01-01",1,NA,0,1,0,19,20,0.0526315789473684,2,77,20
"645",645,"Silene stellata","H","H",563,"2018-01-01",16,NA,0,1,2,18,25,0.0555555555555556,2,77,25
"649",649,"Silene stellata","L","H",567,"2018-01-01",12,NA,0,1,0,19,20,0.0526315789473684,2,77,20
"664",664,"Cryptotaenia canadensis","H","i",229,"2018-01-01",2,NA,0,1,0,20,25,0.05,2,91,25
"665",665,"Cryptotaenia canadensis","H","i",230,"2018-01-01",7,NA,0,1,1,18,25,0.0555555555555556,2,91,25
"667",667,"Cryptotaenia canadensis","L","i",232,"2018-01-01",0,NA,0,3,0,18,20,0.166666666666667,2,91,20
"667.1",667,"Cryptotaenia canadensis","L","i",232,"2018-01-01",0,NA,0,3,0,18,20,0.166666666666667,2,91,20
"667.2",667,"Cryptotaenia canadensis","L","i",232,"2018-01-01",0,NA,0,3,0,18,20,0.166666666666667,2,91,20
"668",668,"Cryptotaenia canadensis","L","i",233,"2018-01-01",0,NA,0,3,0,17,20,0.176470588235294,2,91,20
